id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	21	38	49	11	0	28	17	17
1	0	0	0	103	32	16	103	55	0
7	0	58	103	128	25	0	70	45	45
10	0	72	134	150	16	0	78	62	62
9	0	68	203	213	10	0	145	135	135
2	0	10	10	228	19	64	218	135	0
5	0	39	49	238	61	9	199	129	10
12	0	80	150	261	30	28	181	123	70
14	0	102	168	264	25	4	162	133	66
15	0	107	190	282	31	9	175	135	83
8	0	59	282	286	4	0	227	223	223
3	0	11	213	290	17	15	279	247	202
13	0	100	306	329	23	0	229	206	206
6	0	54	290	393	33	30	339	276	236
11	0	78	329	403	55	18	325	252	251
0	0	0	0	403	11	0	403	392	0
